X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
1.2497003,52.1487366,0,0,357,56,2020/12/30 13:21:52+00,61,,,speed: 1.7,,,,,,,,,,,,,,,,,
1.2498093,52.1487706,0,0,358,56,2020/12/30 13:21:56+00,64,,,speed: 1.6,,,,,,,,,,,,,,,,,
1.2498596,52.1487426,0,0,359,58,2020/12/30 13:22:00+00,,,,speed: 0.2,,,,,,,,,,,,,,,,,
1.2498635,52.1487491,0,0,360,58,2020/12/30 13:22:05+00,,,,speed: 0.3,,,,,,,,,,,,,,,,,
1.2498518,52.1487715,0,0,361,58,2020/12/30 13:22:08+00,70,,,speed: 1.6,,,,,,,,,,,,,,,,,
1.2499363,52.1488155,0,0,362,58,2020/12/30 13:22:12+00,47,,,speed: 1.9,,,,,,,,,,,,,,,,,
1.2499968,52.148831,0,0,363,59,2020/12/30 13:22:16+00,58,,,speed: 1.6,,,,,,,,,,,,,,,,,
1.2500818,52.1488765,0,0,364,60,2020/12/30 13:22:20+00,45,,,speed: 1.7,,,,,,,,,,,,,,,,,
1.250142,52.1489459,0,0,365,60,2020/12/30 13:22:24+00,29,,,speed: 1.9,,,,,,,,,,,,,,,,,
1.2501853,52.149041,0,0,366,56,2020/12/30 13:22:29+00,14,,,speed: 1.9,,,,,,,,,,,,,,,,,
1.2501728,52.1490871,0,0,367,53,2020/12/30 13:22:32+00,4,,,speed: 1.6,,,,,,,,,,,,,,,,,
1.2501455,52.1491848,0,0,368,50,2020/12/30 13:22:37+00,,,,speed: 2.5,,,,,,,,,,,,,,,,,
1.2501311,52.1492501,0,0,369,49,2020/12/30 13:22:40+00,,,,speed: 2.0,,,,,,,,,,,,,,,,,
1.2500633,52.1492921,0,0,370,51,2020/12/30 13:22:44+00,,,,speed: 2.0,,,,,,,,,,,,,,,,,
1.2499466,52.1493176,0,0,371,51,2020/12/30 13:22:48+00,,,,speed: 1.9,,,,,,,,,,,,,,,,,
1.2498448,52.1493796,0,0,372,53,2020/12/30 13:22:52+00,,,,speed: 1.9,,,,,,,,,,,,,,,,,
1.2497546,52.1493498,0,0,373,54,2020/12/30 13:22:56+00,,,,speed: 1.9,,,,,,,,,,,,,,,,,
1.2497285,52.1493473,0,0,374,55,2020/12/30 13:23:00+00,,,,speed: 0.0,,,,,,,,,,,,,,,,,
1.2497295,52.1493445,0,0,375,56,2020/12/30 13:23:05+00,,,,speed: 0.4,,,,,,,,,,,,,,,,,
1.2498585,52.149355,0,0,376,58,2020/12/30 13:23:08+00,,,,speed: 4.0,,,,,,,,,,,,,,,,,
1.2501046,52.1493418,0,0,377,60,2020/12/30 13:23:12+00,129,,,speed: 3.8,,,,,,,,,,,,,,,,,
1.250241,52.1494301,0,0,378,58,2020/12/30 13:23:16+00,72,,,speed: 3.4,,,,,,,,,,,,,,,,,
1.2503693,52.1494931,0,0,379,59,2020/12/30 13:23:20+00,53,,,speed: 1.9,,,,,,,,,,,,,,,,,
1.2504593,52.1495203,0,0,380,59,2020/12/30 13:23:24+00,51,,,speed: 2.1,,,,,,,,,,,,,,,,,
1.2505553,52.149548,0,0,381,62,2020/12/30 13:23:28+00,54,,,speed: 1.2,,,,,,,,,,,,,,,,,
1.2506638,52.1495951,0,0,382,63,2020/12/30 13:23:32+00,53,,,speed: 1.7,,,,,,,,,,,,,,,,,
1.2507741,52.1496419,0,0,383,63,2020/12/30 13:23:36+00,55,,,speed: 1.9,,,,,,,,,,,,,,,,,
1.2508861,52.1496938,0,0,384,62,2020/12/30 13:23:40+00,52,,,speed: 1.5,,,,,,,,,,,,,,,,,
1.2509683,52.1497185,0,0,385,61,2020/12/30 13:23:44+00,,,,speed: 0.1,,,,,,,,,,,,,,,,,
1.2509811,52.1497188,0,0,386,62,2020/12/30 13:23:48+00,,,,speed: 0.0,,,,,,,,,,,,,,,,,
1.2510741,52.14975,0,0,387,58,2020/12/30 13:23:53+00,68,,,speed: 1.5,,,,,,,,,,,,,,,,,
1.2511466,52.1497746,0,0,388,57,2020/12/30 13:23:56+00,64,,,speed: 1.8,,,,,,,,,,,,,,,,,
1.2511871,52.1497943,0,0,389,58,2020/12/30 13:24:01+00,,,,speed: 0.4,,,,,,,,,,,,,,,,,
1.2512416,52.1498246,0,0,390,58,2020/12/30 13:24:04+00,48,,,speed: 1.8,,,,,,,,,,,,,,,,,
1.2513129,52.1498643,0,0,391,59,2020/12/30 13:24:08+00,48,,,speed: 1.8,,,,,,,,,,,,,,,,,
1.2513945,52.1498893,0,0,392,61,2020/12/30 13:24:12+00,56,,,speed: 0.9,,,,,,,,,,,,,,,,,
1.2514505,52.149905,0,0,393,63,2020/12/30 13:24:16+00,,,,speed: 0.4,,,,,,,,,,,,,,,,,
1.2514718,52.1499013,0,0,394,61,2020/12/30 13:24:20+00,,,,speed: 0.1,,,,,,,,,,,,,,,,,
1.2514821,52.1499028,0,0,395,61,2020/12/30 13:24:25+00,,,,speed: 0.4,,,,,,,,,,,,,,,,,
1.251567,52.1499386,0,0,396,63,2020/12/30 13:24:28+00,58,,,speed: 2.0,,,,,,,,,,,,,,,,,
1.2516479,52.1499539,0,0,397,61,2020/12/30 13:24:32+00,60,,,speed: 1.4,,,,,,,,,,,,,,,,,
1.251703,52.149944,0,0,398,61,2020/12/30 13:24:36+00,100,,,speed: 1.4,,,,,,,,,,,,,,,,,
1.251804,52.1498981,0,0,399,57,2020/12/30 13:24:40+00,,,,speed: 0.9,,,,,,,,,,,,,,,,,
1.2518656,52.1498944,0,0,400,58,2020/12/30 13:24:45+00,,,,speed: 0.6,,,,,,,,,,,,,,,,,
1.2518628,52.1498506,0,0,401,59,2020/12/30 13:24:48+00,168,,,speed: 1.4,,,,,,,,,,,,,,,,,
1.2518531,52.1498108,0,0,402,59,2020/12/30 13:24:52+00,,,,speed: 1.5,,,,,,,,,,,,,,,,,
1.251865,52.1497638,0,0,403,59,2020/12/30 13:24:56+00,180,,,speed: 1.1,,,,,,,,,,,,,,,,,
1.251881,52.1497026,0,0,404,59,2020/12/30 13:25:01+00,173,,,speed: 1.4,,,,,,,,,,,,,,,,,
1.2518976,52.1496666,0,0,405,60,2020/12/30 13:25:04+00,167,,,speed: 1.0,,,,,,,,,,,,,,,,,
1.2518928,52.1496175,0,0,406,60,2020/12/30 13:25:08+00,173,,,speed: 0.7,,,,,,,,,,,,,,,,,
1.2519296,52.1495559,0,0,407,57,2020/12/30 13:25:13+00,159,,,speed: 1.8,,,,,,,,,,,,,,,,,
1.2519385,52.1494593,0,0,408,54,2020/12/30 13:25:16+00,166,,,speed: 1.9,,,,,,,,,,,,,,,,,
1.2519623,52.1493371,0,0,409,56,2020/12/30 13:25:20+00,169,,,speed: 2.2,,,,,,,,,,,,,,,,,
1.2519716,52.1492786,0,0,410,57,2020/12/30 13:25:25+00,,,,speed: 0.3,,,,,,,,,,,,,,,,,
1.2519628,52.1492944,0,0,411,57,2020/12/30 13:25:28+00,,,,speed: 0.4,,,,,,,,,,,,,,,,,
1.2519813,52.1492663,0,0,412,56,2020/12/30 13:25:32+00,,,,speed: 1.5,,,,,,,,,,,,,,,,,
1.2520426,52.1492549,0,0,413,55,2020/12/30 13:25:36+00,,,,speed: 0.4,,,,,,,,,,,,,,,,,
1.2521475,52.1492623,0,0,414,55,2020/12/30 13:25:40+00,107,,,speed: 2.1,,,,,,,,,,,,,,,,,
1.2522768,52.1493021,0,0,415,57,2020/12/30 13:25:44+00,76,,,speed: 2.2,,,,,,,,,,,,,,,,,
